locality_id,elevation,lon_wgs84,lat_wgs84,tz_offset
3-13-war-,3770.387695,-83.5061056,9.471040377,-334.024
1-7-con-a,3771.108398,-83.50584375,9.471648652,-334.024
4-15-war-,3768.705566,-83.50599144,9.470931329,-334.024
3-12-con-a,3770.387695,-83.5061056,9.471040377,-334.024
4-15-con-a,3768.705566,-83.50599144,9.470931329,-334.024
1-9-con-a,3771.108398,-83.50584375,9.471648652,-334.024
3-12-war-,3770.387695,-83.5061056,9.471040377,-334.024
1-4-con-a,3771.108398,-83.50584375,9.471648652,-334.024
2-1-war-,3767.744141,-83.5057637,9.471593751,-334.024
1-9-war-,3771.108398,-83.50584375,9.471648652,-334.024
3-3-war-,3770.387695,-83.5061056,9.471040377,-334.024
3-14-war-,3770.387695,-83.5061056,9.471040377,-334.024
2-17-war-,3767.744141,-83.5057637,9.471593751,-334.024
2-1-con-a,3767.744141,-83.5057637,9.471593751,-334.024
2-10-con-a,3767.744141,-83.5057637,9.471593751,-334.024
2-10-war-,3767.744141,-83.5057637,9.471593751,-334.024
2-20-war-,3767.744141,-83.5057637,9.471593751,-334.024
2-17-con-a,3767.744141,-83.5057637,9.471593751,-334.024
4-8-war-,3768.705566,-83.50599144,9.470931329,-334.024
4-11-con-a,3768.705566,-83.50599144,9.470931329,-334.024
2-20-con-a,3767.744141,-83.5057637,9.471593751,-334.024
4-19-war-,3768.705566,-83.50599144,9.470931329,-334.024
4-11-war-,3768.705566,-83.50599144,9.470931329,-334.024
3-14-con-a,3770.387695,-83.5061056,9.471040377,-334.024
3-13-con-a,3770.387695,-83.5061056,9.471040377,-334.024
1-7-war-,3771.108398,-83.50584375,9.471648652,-334.024
4-8-con-a,3768.705566,-83.50599144,9.470931329,-334.024
4-19-con-a,3768.705566,-83.50599144,9.470931329,-334.024
3-3-con-a,3770.387695,-83.5061056,9.471040377,-334.024
1-4-war-,3771.108398,-83.50584375,9.471648652,-334.024
4-6-con-a,3768.705566,-83.50599144,9.470931329,-334.024
3-16-war-,3770.387695,-83.5061056,9.471040377,-334.024
1-2-con-a,3771.108398,-83.50584375,9.471648652,-334.024
1-2-war-,3771.108398,-83.50584375,9.471648652,-334.024
4-6-war-,3768.705566,-83.50599144,9.470931329,-334.024
3-16-con-a,3770.387695,-83.5061056,9.471040377,-334.024
